ctuid,pop2021,material_resources_score,material_resources_q,households_dwellings_q
5350500.01,3678,0.41695500394229784,4,5
5350500.02,4780,0.654432268377669,5,4
5350501.01,5718,-0.4994781127655207,2,4
5350501.02,7122,-0.8365486068357677,1,3
5350502.01,5645,-0.11336511030626273,3,3
5350502.02,2533,-0.004853151071631232,3,3
5350503.00,4946,0.3454356665939571,4,4
5350504.00,3419,-0.39189435345290247,2,2
5350505.01,4476,-0.9222225280806075,1,1
5350505.02,5664,-1.044101196221656,1,1
5350506.00,2609,-1.1510022150693244,1,1
5350507.00,3707,-0.7135143011685693,1,2
5350508.00,3533,-0.4584409424215966,2,2
5350509.01,5122,-0.48876082095561585,2,3
5350509.02,3418,-0.7335944657786801,1,3
5350510.00,5388,-0.527389057714968,2,2
5350511.01,6086,1.1644177489541103,5,5
5350511.02,4795,0.595240445825388,4,3
5350512.00,6056,0.49248733187760757,4,4
5350513.01,6781,-0.48944326157327744,2,2
5350513.02,6215,0.8957365640175913,5,4
5350513.03,3297,0.2730185538662303,4,4
5350513.04,3662,-0.18458081667592202,3,2
5350514.01,2355,-1.102746817340876,1,1
5350514.02,5464,1.1586592137349188,5,3
5350515.01,4185,-0.4863703888975162,2,2
5350515.02,3771,-0.32369288769556365,3,3
5350516.01,5393,-0.5775925029384971,2,2
5350516.02,4749,-0.399963514878804,2,1
5350516.03,5630,-0.28968898240673857,3,3
5350516.04,6257,0.27844286148736863,4,5
5350516.05,6210,-0.21268861269943215,3,3
5350516.06,4784,-0.3571966340826088,3,3
5350516.08,6218,0.6621635025379365,5,4
5350516.09,6899,-0.05244417845740318,3,3
5350516.11,4699,-0.8633419006577535,1,1
5350516.16,5132,-0.15599297685275731,3,3
5350516.17,3403,-0.18411717664249486,3,3
5350516.18,3428,-0.39754506487192837,2,1
5350516.20,6104,-0.6119040749441435,2,1
5350516.21,2898,-0.749817196205186,1,1
5350516.22,6826,-0.7114810697358183,1,1
5350516.23,5541,-0.7049001597224563,2,1
5350516.24,3953,-0.8227024859964602,1,1
5350516.25,3749,-0.018193379354559603,3,2
5350516.26,6580,0.1729676632526344,4,1
5350516.28,4571,-0.6428599626938161,2,1
5350516.29,4699,0.24662584993851144,4,2
5350516.30,5955,-0.7247916093240779,1,1
5350516.31,2713,-0.7400314600329503,1,1
5350516.32,4971,-0.6647089992771753,2,1
5350516.37,9288,-0.3576777098081195,3,5
5350516.38,6492,-0.36792010277756343,3,1
5350516.39,5087,-0.26200856664396244,3,1
5350516.40,6304,-0.5690123666948015,2,1
5350516.41,5727,-0.476785811696792,2,2
5350516.43,3930,-0.5293161450132124,2,3
5350516.44,5237,-0.32290076888993885,3,2
5350516.47,5083,-0.5478605414751684,2,1
5350516.48,6541,-0.2694544044447253,3,1
5350516.50,3934,-0.29503020751609815,3,1
5350516.51,4543,-0.4386216118271316,2,1
5350516.52,4704,-0.4589981501152505,2,1
5350516.53,2656,-0.6425596189296374,2,1
5350516.54,4518,-0.22179590503936267,3,3
5350516.55,4674,-0.16992116370929616,3,1
5350517.00,1710,0.009781364286272175,4,2
5350518.00,4328,1.0511146680510164,5,4
5350519.00,3975,0.08832793059807748,4,3
5350520.01,5179,0.64352885595777,5,2
5350520.02,7509,0.04064746935790123,4,4
5350520.05,3581,0.42294767656542936,4,3
5350520.07,4929,0.21420706894455066,4,5
5350520.08,6094,0.09511320992352128,4,3
5350520.09,7166,-0.3918064584995983,2,5
5350520.11,4856,-0.44990157269173137,2,5
5350520.12,5010,-0.0028067853566527265,3,5
5350521.01,5504,-0.04104216299931965,3,5
5350521.02,3404,-0.17386978593509098,3,2
5350521.03,4787,0.3142899547511114,4,3
5350521.04,6542,0.2629521818940059,4,3
5350521.05,4248,0.6647751025285797,5,4
5350521.06,5540,0.3659880679602301,4,5
5350522.00,6034,-0.03157975800286935,3,3
5350523.00,6084,0.8862750274295216,5,4
5350524.01,4658,0.2768612810727515,4,3
5350524.02,3569,0.31420048875669865,4,5
5350525.01,3274,0.9056681228121904,5,4
5350525.02,4207,0.9139931055343998,5,4
5350526.01,5810,1.0871397804961,5,4
5350526.02,3502,0.7888856519087292,5,4
5350527.02,4904,-0.31233612083578,3,3
5350527.04,5615,-0.5505791292050803,2,3
5350527.05,5369,-0.1564859776164531,3,3
5350527.06,3606,-0.10034196448965067,3,2
5350527.07,4775,0.391029208680839,4,3
5350527.08,4069,-0.12817376346031037,3,1
5350527.09,3312,0.09341673406726589,4,2
5350527.10,4657,-0.4546988260552241,2,5
5350527.11,10056,-0.3969235807381218,2,5
5350527.12,4671,-0.191463059341728,3,3
5350527.13,4060,-0.5748836386865018,2,5
5350528.01,5534,-0.18032885497719817,3,2
5350528.11,5232,-0.27677958180033474,3,5
