rank_seed,name,address,type,municipality,source_url,longitude,latitude,hvi_quintile,exposure_quintile,sensitivity_quintile,adaptive_capacity_quintile,ctuid,phdz,catchment_method,reachable_population_est,roof_area_class,solar_potential_est,facility_suitability,trust_role,verification_status,notes,backup_power_status
1,Malton Community Centre and Library,"3540 Morning Star Drive, Mississauga, ON L4T 1Y2",community_centre_library,Mississauga,https://www.mississauga.ca/recreation-and-sports/locations/malton-community-centre/,-79.63854,43.72354,5,4,2,5,5350530.01,M-04,modelled_500m,pending,large,planning_estimate,high,civic_anchor,address_and_hvi_verified_catchment_pending,"Evidence-backed hero candidate; HVI 5 and connected to Malton Library.",pending
2,Sri Guru Singh Sabha Malton,"7280 Airport Road, Mississauga, ON L4T 2H3",place_of_worship,Mississauga,https://www.srigurusinghsabhamalton.com/,-79.65122,43.70874,5,5,4,5,5350528.62,M-04,modelled_500m,pending,medium,planning_estimate,medium,faith_community_anchor,address_and_hvi_verified_catchment_pending,"Top-quintile faith/community candidate in Malton.",pending
3,Susan Fennell Sportsplex,"500 Ray Lawson Boulevard, Brampton, ON L6Y 5B3",community_centre,Brampton,https://www.brampton.ca/EN/residents/Recreation/Community-Centres/pages/susan-fennell-sportsplex.aspx,-79.73595,43.65288,5,3,2,5,5350528.21,B-16,modelled_500m,pending,large,planning_estimate,high,civic_anchor,address_and_hvi_verified_catchment_pending,"HVI 5 civic facility; formerly South Fletcher's Sportsplex.",pending
4,Anjuman-E-Anwarul Islam of Malton,"7097 Airport Road, Mississauga, ON L4T 2G7",place_of_worship,Mississauga,https://maltonmasjid.ad-din.site/,-79.64445,43.70641,4,3,1,5,5350529.01,M-04,modelled_500m,pending,medium,planning_estimate,medium,faith_community_anchor,address_and_hvi_verified_catchment_pending,"Malton Masjid candidate; HVI 4 with adaptive-capacity quintile 5.",pending
5,Bharat Mata Mandir,"8887 The Gore Road, Brampton, ON L6P 2K9",place_of_worship,Brampton,https://miracletechnologies.ca/bharatmatamandir/,-79.65962,43.77016,3,5,1,3,5350576.65,B-13,modelled_500m,pending,medium,planning_estimate,medium,faith_community_anchor,address_and_hvi_verified_catchment_pending,"Exposure quintile 5; keep as candidate but do not over-rank without catchment.",pending
6,Chinguacousy Wellness Centre,"995 Peter Robertson Boulevard, Brampton, ON L6R 2E9",community_centre,Brampton,https://www.brampton.ca/EN/residents/Recreation/Community-Centres/pages/chinguacousy-wellness.aspx,-79.74263,43.74913,3,5,2,2,5350576.20,B-04,modelled_500m,pending,large,planning_estimate,high,civic_anchor,address_and_hvi_verified_catchment_pending,"Large civic facility; exposure quintile 5.",pending
7,Hindu Sabha Temple,"9225 The Gore Road, Brampton, ON L6P 0B6",place_of_worship,Brampton,https://hindusabhatemple.com/contacts,-79.66808,43.77760,2,5,2,1,5350576.62,B-13,modelled_500m,pending,large,planning_estimate,medium,faith_community_anchor,address_and_hvi_verified_catchment_pending,"The Gore Road faith/community cluster candidate; HVI 2 so not hero.",pending
8,Gore Meadows Community Centre and Library,"10150 The Gore Road, Brampton, ON L6P 0A6",community_centre_library,Brampton,https://www.brampton.ca/EN/residents/Recreation/Community-Centres/Pages/Gore-Meadows.aspx,-79.69453,43.79421,2,2,5,2,5350576.73,B-05,modelled_500m,pending,large,planning_estimate,high,civic_anchor,address_and_hvi_verified_catchment_pending,"Real facility but HVI 2; demoted from provisional hero.",pending
9,Guru Nanak Darbar Gurdwara,"9954 The Gore Road, Brampton, ON L6P 0A7",place_of_worship,Brampton,https://nanakdarbar.com/,-79.68906,43.79079,1,3,2,1,5350576.63,B-12,modelled_500m,pending,large,planning_estimate,medium,faith_community_anchor,address_and_hvi_verified_catchment_pending,"Near Gore Meadows corridor; HVI 1 so not top-five unless catchment adds a reason.",pending
10,Cassie Campbell Community Centre,"1050 Sandalwood Parkway West, Brampton, ON L7A 0K9",community_centre,Brampton,https://www.brampton.ca/EN/residents/Recreation/Community-Centres/pages/cassie-campbell.aspx,-79.82458,43.69693,1,5,1,2,5350576.53,B-01B,modelled_500m,pending,large,planning_estimate,high,civic_anchor,address_and_hvi_verified_catchment_pending,"Large civic facility but HVI 1; keep as contrast candidate.",pending
